transaction_id,product_id,customer_id,store_id,quantity,price,timestamp
0,58,14cf654e-e4f6-42c5-b04b-7dfc15036f25,5,1,18.44,2026-07-02T13:16:21.851498
1,280,01d4b7c5-6184-4f62-9d45-8f8fb5cfe297,10,2,-1.66,2026-02-11T16:05:54.354486
2,112,8831a3b0-75f4-428c-81d5-6b5a704ecb36,9,-1,-2.21,2026-06-16T17:28:03.511899
3,280,,4,2,56.87,2026-03-23T03:02:45.788035
4,82,,6,2,11.33,05-03-2026 13:20:23
5,53,03afbc53-0537-4de2-a46d-4241580641dd,7,1,32.69,27-07-2026 15:18:02
6,136,763e1bf0-0004-4d20-a327-4b89e7af4e12,8,-1,8.11,22-01-2026 14:05:48
7,41,,10,2,55.62,2026-05-21T21:43:52.679921
8,24,6a737e2d-9525-4950-8701-7763ed78aea3,5,1,84.81,2026-06-17T23:02:27.949245
9,195,,8,-1,82.58,2026-06-06T10:48:25.961786
10,190,,4,-1,23.03,2026-05-10T03:21:07.149828
11,88,50f39b47-245a-461c-84a8-22896bcbe498,3,2,34.84,2026-01-01T08:42:00.824855
12,167,f726e513-58a2-41a9-b0a1-b6d40fe03585,4,1,79.53,12-08-2026 14:46:33
13,138,a7ea6d90-8952-4fe6-92e0-d792653c87f7,4,-1,87.02,12-08-2026 00:00:45
14,109,,7,-1,43.18,24-04-2026 02:37:23
15,72,3c3dc734-85d3-4b1b-aaa8-8c6cf7318d96,9,-1,22.59,11-05-2026 00:05:57
16,299,,6,1,99.72,2026-07-07T10:44:58.183359
17,261,,2,1,85.42,2026-06-16T17:23:11.708378
18,82,,10,1,35.4,25-07-2026 03:44:15
19,271,,9,1,66.43,2026-04-20T06:50:43.334450
20,275,,6,1,25.82,2026-06-24T03:29:01.446484
21,233,1829d677-9f43-40d9-bf24-323feac16ed7,5,-1,75.01,2026-02-01T05:04:56.925046
22,153,21f3d898-5a83-4ca3-886c-3b69103d8575,3,2,75.06,2026-03-03T20:52:38.214032
23,166,,1,1,92.56,29-04-2026 16:29:24
24,123,2f842487-7462-4912-a824-2909ebc4b584,4,-1,94.43,2026-03-26T05:11:17.118830
25,249,92bd7aa5-6e1b-4b1c-9af1-d317a6e026d1,9,1,8.48,11-04-2026 14:19:10
26,282,dd480aa6-0c79-43aa-a647-a4af07628e08,5,-1,86.61,16-02-2026 10:10:42
